Element,K_alpha1,K_alpha2,K_beta1,L_alpha1,L_alpha2,L_beta1,L_beta2,L_gamma1,M_alpha1,,,,
3  Li,54.3,—,—,—,—,—,—,—,—,54,29,79,valid
4  Be,108.5,—,—,—,—,—,—,—,—,109,84,134,valid
5  B,183.3,—,—,—,—,—,—,—,—,183,158,208,valid
6  C,277,—,—,—,—,—,—,—,—,277,252,302,valid
7  N,392.4,—,—,—,—,—,—,—,—,392,367,417,valid
8  O,524.9,—,—,—,—,—,—,—,—,525,500,550,valid
9  F,676.8,—,—,—,—,—,—,—,—,677,652,702,valid
10  Ne,848.6,848.6,—,—,—,—,—,—,—,849,824,874,valid
11  Na,1040.98,1040.98,1071.1,—,—,—,—,—,—,1041,1016,1066,valid
12  Mg,1253.6,1253.6,1302.2,—,—,—,—,—,—,1254,1229,1279,valid
13  Al,1486.7,1486.27,1557.45,—,—,—,—,—,—,1487,1462,1512,valid
14  Si,1739.98,1739.38,1835.94,—,—,—,—,—,—,1740,1715,1765,valid
15  P,2013.7,2012.7,2139.1,—,—,—,—,—,—,2014,1989,2039,valid
16  S,2307.84,2306.64,2464.04,—,—,—,—,—,—,2308,2283,2333,valid
17  Cl,2622.39,2620.78,2815.6,—,—,—,—,—,—,2622,2597,2647,valid
18  Ar,2957.7,2955.63,3190.5,—,—,—,—,—,—,2958,2933,2983,valid
19  K,3313.8,3311.1,3589.6,—,—,—,—,—,—,3314,3289,3339,valid
20  Ca,3691.68,3688.09,4012.7,341.3,341.3,344.9,—,—,—,3692,3667,3717,valid
21  Sc,4090.6,4086.1,4460.5,395.4,395.4,399.6,—,—,—,4091,4066,4116,valid
22  Ti,4510.84,4504.86,4931.81,452.2,452.2,458.4,—,—,—,4511,4486,4536,valid
23  V,4952.2,4944.64,5427.29,511.3,511.3,519.2,—,—,—,4952,4927,4977,valid
24  Cr,5414.72,5405.509,5946.71,572.8,572.8,582.8,—,—,—,5415,5390,5440,valid
25  Mn,5898.75,5887.65,6490.45,637.4,637.4,648.8,—,—,—,5899,5874,5924,valid
26  Fe,6403.84,6390.84,7057.98,705,705,718.5,—,—,—,6404,6379,6429,valid
27  Co,6930.32,6915.3,7649.43,776.2,776.2,791.4,—,—,—,6930,6905,6955,valid
28  Ni,7478.15,7460.89,8264.66,851.5,851.5,868.8,—,—,—,7478,7453,7503,valid
29  Cu,8047.78,8027.83,8905.29,929.7,929.7,949.8,—,—,—,8048,8023,8073,valid
30  Zn,8638.86,8615.78,9572,1011.7,1011.7,1034.7,—,—,—,8639,8614,8664,valid
31  Ga,9251.74,9224.82,10264.2,1097.92,1097.92,1124.8,—,—,—,9252,9227,9277,valid
